fase,exp,familia,tarea,datos,detalle,epocas,tiempo_min,val,metrica_val,test_acc,test_iou_litter,test_ap50,test_ap,test_ap_s
P0,E1,VGG,clasificación,crops/masks,congelado,15,30.7,0.9699349338119811,val_acc,0.9711901223276552,,,,
P0,E2,VGG,clasificación,crops/masks,congelado,30,61.2,0.9716176800538479,val_acc,0.9713044472390534,,,,
P0,E3,VGG,clasificación,crops/masks,ultimo_bloque,15,35.4,0.9687009199012789,val_acc,0.9737052703784155,,,,
P0,E4,VGG,clasificación,crops/masks,ultimo_bloque,22,52.0,0.9771146511106125,val_acc,0.978163941922945,,,,
P0,D1,FCN,segmentación,crops/masks,0.001,68,7.3,0.5498313269562507,val_iou,,0.5766410168887833,,,
P0,D2,FCN,segmentación,crops/masks,0.0001,70,7.5,0.46904807893839207,val_iou,,0.5357029623218708,,,
P0,A1,FRCNN,detección,taco_1cls,congelado,26,19.7,0.5328630271188257,val_ap50,,,0.44604483406383044,0.30062285602615274,0.058534652263156836
P0,A2,FRCNN,detección,taco_1cls,layer4,18,14.0,0.5419886728363372,val_ap50,,,0.4825652965139866,0.3231240220466016,0.0729193416012961
P0,B6,FRCNN,detección,taco_6cls,layer4,25,18.9,0.2489918061328193,val_ap50,,,0.2457064077478335,0.15355604437687823,0.028627513914864507
P0,B5,FRCNN,detección,taco_5cls,layer4,23,17.2,0.28280055596738746,val_ap50,,,0.24414906657597832,0.1554918435851612,0.02447462465809736
P0,C,FRCNN,detección,rolid_video_1cls,layer4,14,67.1,0.7079273537059193,val_ap50,,,0.7074953515694352,0.2766705373260863,0.2811710409715059
P1,F1,YOLO,detección,taco_1cls,@640,150,138.4,0.54053,val_ap50,,,0.4418453320401657,0.31779493045866025,0.05633777960514531
P1,F2,YOLO,detección,rolid_video_1cls,@640,93,104.0,0.73115,val_ap50,,,0.6953694684778347,0.27883919513355176,0.27892938155755964
P1,F3,YOLO,detección,rolid_oficial_1cls,@640,94,107.9,0.65224,val_ap50,,,0.6201,0.2297,
P1,F4,YOLO,detección,uav_1cls,@640,150,9.9,0.73896,val_ap50,,,0.7792209783095725,0.45701480376495646,0.37444113351439207
P1,G1,YOLO,detección,taco_6cls,@640,93,13.6,0.21409,val_ap50,,,0.1565902418,,
P1,G2,YOLO,detección,taco_5cls,@640,148,21.1,0.26308,val_ap50,,,0.1921777945,,
P1,H1,YOLO,detección,taco_1cls,@1024,133,44.9,0.56842,val_ap50,,,0.4735,,0.0957
P1,H2,YOLO,detección,rolid_video_1cls,@1024,76,170.2,0.7969,val_ap50,,,0.7787,,0.3371
