modelo,AP50,Cls,Loc,Both,Dupe,Bkg,Miss,FalsePos,FalseNeg
P0-FRCNN-A1,44.6,0.0,4.21,0.0,0.07,12.47,12.66,24.7,19.49
P0-FRCNN-A2,48.26,0.0,4.72,0.0,0.1,10.76,14.81,19.07,22.62
P0-FRCNN-B6,24.57,12.67,1.99,0.45,0.07,5.89,10.66,29.72,17.69
P0-FRCNN-B5,24.41,11.09,2.94,0.38,0.08,7.92,7.81,32.61,14.65
P0-FRCNN-C,70.75,0.0,7.58,0.0,0.21,9.64,3.72,17.37,8.85
P1-YOLO-F1,44.18,0.0,5.49,0.0,0.3,11.13,12.25,23.14,21.15
P1-YOLO-F2,69.54,0.0,7.73,0.0,0.73,7.89,3.86,17.59,10.15
P1-YOLO-F3,62.01,0.0,9.51,0.0,0.75,9.36,5.04,21.16,12.42
P1-YOLO-F4,77.92,0.0,6.27,0.0,0.36,4.14,5.87,8.22,12.48
P1-YOLO-G1,15.67,23.02,1.7,0.48,0.04,4.15,4.95,23.44,21.38
P1-YOLO-G2,19.2,24.58,1.69,0.29,0.07,5.95,5.37,24.96,22.96
P1-YOLO-H1,47.35,0.0,3.42,0.0,0.29,14.13,10.03,26.91,16.11
P1-YOLO-H2,77.87,0.0,5.3,0.0,0.41,6.89,3.4,13.22,7.36
